Unnamed: 0,FP1,FP2,F3,F4,C3,C4,P3,P4,01,02,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,EMG1,EMG2,IO,EMG3,EMG4
497,-44,-45,-52,-31,-47,-50,-46,-61,13,-85,-41,-44,-41,-35,-51,-47,-46,-48,-11,-38,39,-40,-49,-38,-51,-3623,-4072,49,1478,-3255
498,8,3,11,20,13,2,13,1,30,-6,3,9,9,-13,11,42,-11,15,23,9,24,9,13,13,20,-3632,2086,-21,263,-3610
499,6,13,6,9,5,13,10,16,29,-34,6,5,3,17,1,-17,4,7,5,6,58,4,4,-1,1,-4612,-112,-2,4696,-1170
500,8,-1,11,12,4,10,-1,2,0,-8,14,12,-3,0,11,7,-2,9,8,-1,6,4,19,3,4,-770,-1082,1,604,933
501,-34,-15,5,-9,-12,-15,-9,-6,-2,11,-15,-14,-15,-11,-9,-14,-11,-10,-11,-14,-11,1,-16,-1,-8,2343,663,6,422,414
502,-40,-41,-45,-24,-48,-47,-44,-67,12,-29,-32,-39,-37,-40,-46,-43,-27,-41,-5,-34,6,-32,-38,-36,-47,-3706,-3590,54,1547,3467
503,-39,-35,-22,-34,-34,-29,-31,-25,-43,-193,-32,-28,-38,-31,-34,-38,-41,-36,-40,-35,-21,-18,-30,-17,-35,-3608,-3581,101,10,-3768
504,0,6,-27,-36,-20,-14,-16,-11,-11,-4,-18,-10,-10,-4,-23,-19,-14,-23,-20,-19,-16,-17,-3,-16,-9,-904,-1031,10,92,651
505,50,30,19,9,22,29,26,30,19,-45,16,20,37,51,28,13,24,26,31,25,-5,15,27,17,39,-2497,-190,-30,-3490,-3540
506,5,6,-5,0,-2,3,7,3,2,57,2,3,4,-1,-3,12,3,-2,4,8,20,2,3,-3,-5,-3672,900,72,-1888,3207
507,23,21,19,20,16,25,13,21,30,-27,22,22,26,36,17,10,11,18,15,15,44,13,21,5,18,-2339,-1352,12,4030,-1864
508,8,16,12,-1,7,5,3,10,-8,-2,7,15,10,18,11,32,-4,12,4,5,-20,7,8,-2,6,-3071,884,46,-2357,1983
509,6,4,15,10,12,5,12,-2,15,8,13,10,3,-30,14,9,8,15,10,12,15,14,4,10,9,752,-968,-110,1056,-2428
510,-17,-16,-16,-10,-11,-15,-13,-12,-52,2,-16,-15,-8,-8,-17,6,-10,-14,-13,-14,-70,-8,-18,-12,-15,-5284,1936,-30,-2257,1594
511,17,15,11,14,18,14,14,7,11,-27,13,12,11,5,12,14,20,14,17,8,-33,13,16,12,18,3230,2504,0,-1613,3210
512,-18,-1,-20,-22,-18,-16,-14,-10,-5,4,-13,-15,13,8,-19,-22,-11,-22,-21,-16,-15,-13,-20,-16,-17,-1560,-1086,16,-538,-496
513,-7,-11,-5,-4,-5,-5,-3,-9,1,3,-7,-7,-10,-14,-6,4,-1,-4,-3,-3,8,-3,-9,-6,-5,-1852,-939,-98,1612,-2587
514,1,0,-1,0,-3,6,-1,4,9,-37,4,5,-4,-3,-4,-8,-5,-2,0,-3,27,1,1,0,4,-1899,-908,20,3671,-1067
515,-30,-32,-38,-47,-40,-37,-50,-47,-105,45,-25,-42,-33,-60,-30,-78,-37,-33,-59,-40,-123,-33,-43,-37,-54,3757,-3684,82,-4948,2828
516,-2,-4,-8,-8,-6,-6,3,11,-1,20,-12,-5,5,11,-12,-6,-2,-8,-8,-6,-5,-6,-3,0,4,-2098,1216,17,-207,-1475
517,-20,-21,-19,-13,-16,-14,-14,-14,-13,-16,-15,-17,-16,-18,-18,-14,-9,-18,-15,-13,33,-14,-22,-13,-11,-1014,-1390,-83,1716,-3568
518,2,3,-1,-4,-3,1,7,11,19,-31,-7,3,-1,20,-1,23,13,2,-7,-1,30,-6,8,3,18,3738,2821,-16,-2286,219
519,-44,-43,-40,-30,-40,-41,-52,-41,-36,-82,-39,-33,-59,-32,-42,-36,-53,-40,-32,-38,19,-32,-34,-41,-43,-3484,3290,62,-2752,1936
520,28,36,38,25,33,37,34,35,32,37,25,26,16,30,40,35,29,34,37,35,40,26,28,30,35,-1146,965,-50,1183,2693
521,-31,-34,-37,-23,-32,-26,-36,-35,-34,281,-25,-29,-36,-21,-31,-32,-38,-34,2,-33,-78,-25,-28,-29,-29,-4522,2605,38,1907,-2554
522,2,-17,-8,-1,-9,-4,-6,-3,-1,-8,-2,-2,-1,4,-10,-6,-6,-7,-4,-8,-11,-5,0,1,-7,1739,-884,30,255,-478
523,13,22,21,23,19,24,23,20,26,17,18,20,14,21,19,18,14,14,19,17,29,15,30,25,36,-2958,-1628,-5,396,-1498
524,-21,-13,-5,-14,-9,-14,-4,-5,-2,10,-12,-10,-4,-3,-13,-17,-6,-14,-18,-10,-11,-4,-18,0,-6,-900,-519,9,-84,-230
525,4,-11,-6,-3,-2,1,3,8,0,3,-6,0,-16,12,-6,2,6,-3,-3,-2,-2,-3,1,-1,0,133,-133,-8,1628,3018
526,-20,-24,-34,-42,-31,-30,-32,-25,-36,-37,-29,-26,-22,-22,-32,-33,-31,-32,-34,-30,-38,-30,-30,-23,-31,807,-1324,13,-123,1526
527,-26,-4,-19,-26,-22,-19,-18,-18,-20,-13,-16,-16,-15,-16,-22,-26,-19,-24,-24,-24,-22,-11,-15,-15,-18,-686,-738,9,482,859
528,-3,1,-4,-5,-4,2,7,11,2,-1,-7,-4,-6,9,-9,-7,-4,-5,-14,2,95,-8,-5,3,-3,-4410,566,2,4352,-177
529,-18,-29,-26,-15,-19,-17,-15,-11,-9,-5,-18,-20,0,-14,-22,-24,-13,-25,-22,-17,-18,-12,-20,-14,-14,-1872,-1560,8,-1029,-782
530,26,17,6,8,9,16,10,14,16,-1,10,13,22,22,11,12,8,8,17,12,-5,4,23,5,19,17,-777,-4,1326,-1692
531,-2,-7,-3,-3,-3,-4,2,-9,12,1,1,0,0,-10,-6,-1,-6,-3,-2,-3,-1,3,-5,1,-5,678,-649,-98,1759,-2054
532,-8,-17,-11,-4,-13,-8,-14,-4,-4,-2,-8,-9,1,-5,-6,-7,-9,-8,-5,-11,-6,-10,-9,-12,-5,-368,-619,3,42,180
533,5,5,1,-3,3,3,12,5,2,-7,1,-1,21,-4,-4,1,-3,1,-11,6,65,-1,-9,2,-8,-4336,568,-2,3920,374
534,-2,25,-12,-20,-9,-9,-8,-6,-7,-2,-7,-1,-7,3,-12,-12,-4,-11,-7,-8,-1,-9,2,-7,-4,4432,-660,32,-232,427
535,-4,-13,-6,-4,-5,1,-1,-7,-6,-10,-3,-6,-12,-39,-3,-6,-4,-5,1,-2,-2,-4,-7,-1,5,748,-591,-73,122,-2796
536,-2,2,-5,-4,-3,3,4,14,13,-37,-1,1,-1,-25,-8,-10,-5,-3,-11,-1,23,-5,-8,0,-5,-4704,298,-2,4794,-830
537,17,-4,1,1,10,9,15,13,12,19,-2,1,9,-1,4,9,15,2,5,13,13,4,8,11,10,1044,0,-2,1426,-116
538,-14,-8,-11,-15,-11,-12,-9,-7,-10,-3,-17,-16,-17,-24,-11,-13,-10,-12,-15,-11,-12,-7,-10,-3,-10,-436,238,-2,50,162
539,-3,2,0,2,1,1,2,7,-4,9,1,1,-3,-6,-1,0,2,1,3,-2,-8,2,-3,3,0,-2696,3189,20,488,-3153
540,17,10,8,-2,13,7,11,9,8,3,6,4,23,10,14,11,15,11,5,15,14,3,-1,7,3,2214,566,-4,1826,193
541,25,9,-6,-3,2,10,4,7,10,-10,3,6,17,12,2,6,2,0,8,5,-9,-3,15,1,13,48,-855,-4,1527,-1761
542,3,-11,11,9,7,6,5,-4,8,-18,1,-4,12,-14,12,10,-5,7,6,5,11,9,5,8,10,-836,-3038,-50,-1356,-4235
543,-9,-12,-7,-12,-4,-10,-3,-9,-9,-2,-8,-11,-6,-17,-8,-7,-6,-11,-9,-7,-3,-7,-12,8,-13,288,-34,6,1283,-740
544,-3,-26,24,33,13,12,3,7,1,9,14,8,-12,-9,20,14,3,18,19,14,13,11,5,7,9,653,-1448,2,604,2797
545,-13,3,-10,-6,-8,-7,-6,-1,2,-9,-5,-2,-3,-6,-12,-8,-9,-10,-15,-10,-11,-4,-6,-10,-6,572,-441,24,-63,41
546,5,14,6,6,2,10,8,15,28,-39,5,5,4,20,0,-17,2,6,6,5,51,6,0,-1,-2,-4626,-178,0,4637,-1086
547,-2,6,-16,-13,-10,-5,-3,1,-4,10,-9,-7,-2,-10,-13,-14,0,-11,-10,-9,-9,-5,-4,-4,-2,-1536,-94,12,-1258,-726
548,6,7,8,7,5,6,4,-6,-15,9,9,-1,10,-21,10,-2,4,7,14,7,-20,8,4,3,-9,2960,-1297,-72,-2503,-3898
549,-2,-4,-6,1,-2,-3,-3,1,-30,23,-6,-5,1,14,-6,11,2,-2,-1,-1,-60,-3,-7,-6,-4,-5129,2008,-34,-2222,2112
550,-22,-22,-20,-21,-23,-21,-20,-23,-19,-8,-20,-23,-10,-15,-18,-22,-20,-20,-15,-17,-15,-16,-26,-21,-19,654,107,-116,1344,-1966
551,-29,-23,-16,-26,-24,-19,-27,-13,-43,-108,-24,-22,-25,-21,-22,-27,-39,-22,-31,-26,-21,-13,-29,-22,-34,3325,360,102,-485,-3766
552,6,9,7,9,11,8,9,0,-1,9,4,-2,-2,-5,10,-7,13,12,11,11,-48,4,-2,3,5,1552,1072,-54,-2311,180
553,-13,-14,-38,-33,-23,-25,-20,-10,-3,-17,-32,-24,-9,0,-31,-18,-19,-28,-24,-23,-4,-32,-27,-27,-18,3560,-2064,46,288,420
554,-10,-5,2,-2,-4,-3,-6,4,1,10,-7,-5,-1,3,-1,-2,-1,0,0,-4,2,-1,-8,-5,-1,740,-717,-4,220,-142
555,-8,-8,-11,-13,-13,-9,-9,-13,-2,2,-11,-15,14,-7,-12,-11,-9,-12,-9,-8,-29,-12,-17,-15,-14,2530,-901,-64,852,-2448
556,15,14,27,30,23,23,22,23,26,38,21,21,1,30,28,30,30,28,31,27,31,15,19,8,16,3675,66,22,-1612,1645
557,-28,-36,-9,6,-14,-12,-14,-20,-17,-18,-9,-20,-10,-29,-9,-13,-15,-12,-6,-14,-5,-10,-22,-9,-16,3952,-970,18,552,-1192
558,0,18,18,-1,8,14,5,5,6,-2,6,4,15,6,17,12,4,9,3,-3,-8,-1,17,3,14,241,-1806,-14,-1616,-2029
559,-15,-23,-10,4,-8,-2,-6,1,-13,49,-10,-11,-10,-17,-10,-1,-4,-8,0,-9,9,-7,-12,-8,-4,-1902,2942,10,584,-2927
560,29,11,19,33,21,25,28,33,31,32,22,22,29,31,24,33,31,26,27,26,23,18,26,15,25,-1054,-435,-16,1931,3135
561,-25,-8,16,24,4,4,2,10,3,19,0,-2,-14,9,7,3,4,5,4,5,3,6,0,6,12,-1120,-772,-3,-279,-578
562,10,2,-11,-15,-4,-5,-1,-4,4,4,-4,-3,15,-3,-6,-8,-5,-9,-8,-5,4,-7,2,3,-2,429,-32,9,488,-856
563,-15,10,16,6,7,3,6,-3,-2,226,8,-2,10,2,11,-8,-30,6,0,-1,4,6,-7,8,-1,-980,-1662,-38,898,168
564,-13,-18,-9,-11,-9,-13,-13,-15,-11,-9,-14,-16,-9,-14,-10,-11,-15,-8,-10,-11,-5,-15,-20,-12,-14,1563,-905,10,524,-334
565,21,16,22,32,22,12,22,12,46,15,19,21,30,18,23,49,3,26,37,21,34,18,23,16,19,-3330,2260,-18,-76,-3652
566,-4,-2,-5,-6,-6,-2,1,1,18,3,-4,-4,6,-5,-8,-2,-9,-5,-11,-3,31,-8,-10,-2,-6,-1942,379,30,2154,540
567,10,7,-1,-7,2,8,-1,-2,-6,69,-2,1,-2,-5,3,-1,-14,-1,3,-1,8,-1,12,-3,13,-770,-1390,-36,2722,-1316
568,-13,-7,-9,-24,-10,-16,-15,-12,-32,-25,-14,-4,-34,-9,-11,8,-26,-9,-18,-16,-31,-6,-15,-2,-13,-3130,-330,50,-52,1465
569,-13,-12,-12,-8,-7,-10,-12,-14,-20,19,-4,-13,-12,-12,-7,-21,58,-8,-2,0,-39,-8,-19,-17,-14,1839,4173,-40,-2922,-2603
570,-6,13,23,29,14,15,15,22,4,29,16,13,1,8,19,15,17,18,16,14,12,13,14,14,17,-1169,462,-4,106,676
571,13,34,20,5,12,14,12,10,17,18,14,13,22,18,17,13,8,14,24,13,-7,5,15,10,10,-413,-234,-16,276,-1548
572,17,-11,-3,12,4,11,10,16,16,23,4,5,10,-2,5,5,10,1,10,10,12,4,17,7,19,2186,-84,1,82,1804
573,-23,-22,-31,-17,-31,-14,-28,-20,-4,186,-23,-20,-39,13,-25,-18,-21,-24,-7,-19,-70,-23,-19,-29,-10,-4271,2450,40,1867,-3987
574,-20,-15,-1,1,-5,-2,-5,-7,-68,-31,-7,-4,-20,-12,-5,55,-5,-3,-12,-13,-49,-1,-7,-1,-12,-4962,1359,-12,-2072,-679
575,7,14,-31,-32,-16,-15,-11,-4,6,-12,-15,-5,4,12,-24,-11,-6,-20,-16,-9,7,-21,-12,-20,-14,1990,-1538,68,1483,912
576,-9,25,13,2,3,-1,5,-6,8,5,3,-1,11,23,7,1,-15,7,13,-2,-3,2,-4,3,-7,-2518,-2896,-30,-3864,-3917
577,13,13,14,7,14,25,12,20,3,16,9,10,-6,-12,13,16,8,10,-10,10,-17,6,24,15,12,-3254,-1202,-94,-1940,1659
578,-21,-17,-7,-15,-13,-9,-16,2,-42,-61,-15,-11,-37,-21,-14,-20,-20,-13,-26,-14,-18,-4,-13,-8,-25,934,-71,95,-1948,-4028
579,1,-5,4,7,6,4,3,4,1,6,4,3,0,-13,4,3,5,4,4,4,6,5,1,4,5,-692,-1322,-2,-1070,-2539
580,-24,-30,-27,-16,-30,-29,-32,-42,-20,53,-16,-17,-35,-41,-29,-12,-27,-25,24,-19,-60,-14,-30,-24,-32,-4286,1315,44,1010,-3780
581,-32,-9,-7,-19,-15,-19,-19,-21,-22,-21,-15,-14,-34,-28,-15,-18,-20,-16,-18,-17,-19,-3,-21,-10,-24,1453,-536,8,-63,1119
582,12,3,-4,-5,-2,1,1,7,13,14,-3,3,10,8,-3,4,10,1,3,4,10,-6,6,-11,3,2792,-294,26,-1570,820
583,-7,-19,-15,-3,-12,-9,-8,-7,-2,-7,-9,-11,-1,-3,-14,-13,-3,-14,-8,-9,0,-11,-6,-6,-11,4290,-971,31,346,-584
584,18,12,15,7,4,7,19,-7,10,-60,19,16,32,34,17,15,3,7,19,18,21,15,15,14,15,-2682,-2716,-30,522,-3352
585,-25,-29,-34,-23,-29,-21,-31,-27,-29,276,-23,-27,-25,-2,-28,-35,-32,-31,-8,-30,-80,-24,-24,-27,-25,-3909,-28,36,138,1366
586,2,12,-18,-29,-15,-5,-8,-3,-7,-2,-17,-12,9,-20,-16,-14,-6,-14,-11,-12,-14,-10,-6,-16,0,-2588,1746,16,-1486,-1070
587,-22,-17,-17,-23,-22,-15,-28,-14,-63,-52,-23,-27,-34,-32,-19,-36,-33,-17,-30,-20,-45,-18,-26,-22,-37,-3518,2792,64,-3575,-3786
588,-12,13,-12,-15,-10,-9,-9,-2,5,-15,-10,-4,-1,-17,-12,-4,-8,-10,-8,-10,8,-14,-6,-19,-1,3510,-2062,53,176,316
589,8,0,10,13,7,9,3,8,3,13,6,8,-9,16,11,9,5,10,10,7,12,7,15,4,11,2404,-1154,12,507,-932
590,-32,-26,-21,-32,-28,-26,-34,-28,-48,-164,-27,-29,-23,-45,-25,-30,-47,-28,-37,-33,-22,-16,-29,-26,-49,3024,-525,102,-108,-3928
591,-9,-10,-9,-8,-9,-13,-15,-23,-39,9,-6,-12,-6,-21,-12,-15,-9,-9,-14,-12,-73,-6,-11,-10,-19,-5284,1969,-30,-2314,2746
592,-14,-37,-23,-18,-22,-18,-16,-13,-15,-1,-20,-19,-10,-1,-22,-24,-15,-26,-22,-20,-18,-14,-14,-13,-15,-1150,-342,10,-79,-168
593,1,1,-1,-1,5,-1,9,9,-1,32,0,2,-7,4,-2,6,6,3,1,5,12,10,-10,16,0,-2021,2834,12,1516,-743
594,-11,-4,-6,2,-6,-1,-5,-2,9,21,-6,-6,-12,0,-1,1,-3,-4,5,1,11,-4,-7,-8,4,-558,-1008,-63,668,-2360
595,-3,-1,-2,-4,-3,-5,-2,-14,-26,12,-1,-11,7,-33,-2,-14,-6,-4,1,-3,-37,-1,-7,1,-15,2878,-1049,-70,-2796,-3472
596,-26,-9,-17,-20,-21,-18,-17,-15,-11,-1,-14,-17,4,2,-19,-24,-15,-24,-23,-19,-18,-13,-20,-16,-21,-1485,-922,16,-406,-417
597,-26,-4,-17,-20,-20,-17,-15,-15,-17,-11,-15,-15,-15,-18,-19,-24,-17,-22,-21,-22,-19,-10,-12,-13,-16,-668,-714,8,610,865
598,-17,-7,8,14,1,-1,2,6,-2,-23,1,-6,2,-15,6,7,2,7,1,4,11,0,-14,2,-9,-182,-962,-10,823,2678
599,-25,-20,-19,-16,-22,-19,-18,-17,-16,-3,-17,-19,-6,1,-21,-26,-17,-26,-23,-22,-19,-15,-14,-14,-20,-1332,-694,14,-266,-321
600,3,7,5,6,2,8,6,5,10,53,8,8,2,8,2,9,9,4,2,9,26,7,4,3,-5,-3470,1032,78,288,3264
601,-11,-27,-37,-31,-22,-26,-19,-13,-5,-20,-34,-27,-13,-7,-32,-18,-18,-27,-24,-22,-4,-32,-28,-22,-23,3506,-2166,45,380,464
602,-5,5,-3,-18,-13,-11,-2,-28,-4,-101,3,-5,20,8,3,-4,-13,-12,-5,-4,11,-6,-6,2,-6,-2008,-3146,-40,1468,-4418
603,2,-6,-9,-6,-6,-3,-5,0,1,7,-6,-3,3,2,-4,-8,-8,-10,-4,-9,-3,-5,9,-2,6,381,-198,10,747,-713
604,-20,-39,-10,5,-13,-10,-10,-15,-14,-12,-10,-19,0,-20,-11,-13,-11,-13,-5,-13,-2,-11,-20,-7,-12,4142,-1022,22,523,-1099
605,-35,-32,-37,-35,-33,-36,-31,-35,-26,-29,-34,-34,-26,-35,-37,-35,-30,-35,-34,-32,-11,-26,-39,-28,-35,1313,-658,-81,-2316,-2988
606,-1,9,9,1,6,-2,1,-4,2,0,6,8,-12,-5,4,19,-6,9,7,3,-15,11,-5,10,-11,-3270,170,56,-2782,2713
607,12,17,-13,-20,-5,-2,0,-3,13,0,-5,-1,20,15,-9,-5,-7,-12,-11,-4,-9,-9,5,0,3,-3130,-1368,-2,751,-1598
608,-5,-5,-6,-25,-5,-20,-7,-26,-1,-16,-8,-11,-7,-33,-9,-9,-18,-6,12,-4,10,-3,-31,0,-33,-762,1119,44,3464,900
609,-4,-10,-12,-15,-8,-11,-7,-7,-1,-7,-10,-9,-3,-7,-11,-11,-13,-9,-13,-9,-4,-10,-15,-7,-14,488,-1040,14,251,635
610,7,11,7,-2,6,1,-3,-4,-3,0,3,3,-3,-7,6,5,0,9,4,3,5,6,0,1,-10,388,-316,-3,605,-1220
611,9,-1,-11,-13,-4,-7,-5,-6,-8,-4,-6,-4,-3,-5,-7,-5,-3,-4,-2,-4,0,-7,-6,-3,-7,4143,-468,12,-474,1732
612,5,-9,-8,-13,-9,-7,-6,-4,-1,-23,-11,-8,3,2,-6,0,-5,-2,-2,-6,2,-11,-10,-11,-9,300,-924,21,-860,37
613,30,31,27,27,27,31,29,35,39,5,23,35,12,34,27,49,32,30,24,26,39,22,39,19,47,3648,2767,-20,-3544,2679
614,-18,-20,-11,-1,-8,-11,-7,-4,-15,14,-13,-15,-7,-18,-14,-9,-7,-10,-10,-11,-3,-4,-16,-8,-11,-2598,3082,14,-480,-3052
615,5,6,4,-6,-2,-4,-4,-3,-9,-25,3,7,15,2,3,21,-11,5,-5,-3,-45,1,3,-6,-9,-3036,-6,52,-336,1502
616,1,-3,-11,-19,-9,-5,-3,3,-8,-2,-11,-3,-15,-2,-13,-11,3,-9,-8,-10,-11,-1,-4,-2,1,-1854,1468,21,-1510,-1745
617,-22,-26,-28,-26,-24,-27,-23,-20,-23,-30,-21,-18,-12,-16,-25,-25,-25,-27,-29,-25,-132,-21,-23,-24,-19,470,-784,52,3706,-36
618,1,3,-3,-5,-3,1,0,3,9,-13,-3,0,-2,20,-7,-2,-6,-2,-11,-2,18,-4,-6,0,-7,-4017,-1878,4,3346,-1237
619,0,15,5,0,0,2,-2,-7,-3,3,3,-4,20,-25,8,0,-4,2,14,7,-20,-6,0,-1,0,-556,-366,-14,-168,-1112
620,19,16,17,21,18,21,22,31,41,-30,6,15,20,18,15,48,26,20,25,17,62,12,23,18,29,-3023,2377,-33,446,-3171
621,14,23,12,0,8,10,9,6,13,14,9,7,26,8,13,9,5,9,20,10,-10,0,9,6,8,-476,-260,-16,104,-1447
622,-7,-9,-5,-18,-6,-3,-17,-7,-20,-16,-10,-11,5,-9,-6,-13,-25,-9,-38,-16,-38,-14,-7,-16,-12,-3681,-1396,-96,-755,718
623,-5,-6,-3,-13,-8,-2,-6,-1,-9,9,-10,-9,-7,-12,-4,-8,-3,-3,-6,-8,-8,0,-10,-4,-1,-1452,184,10,-1294,-786
624,5,1,4,4,3,8,1,1,3,1,8,2,17,0,5,0,-8,1,-8,-3,-47,2,8,6,-4,-4318,-1168,-102,-38,969
625,5,9,7,10,7,12,11,14,26,-36,7,6,-1,7,1,-17,4,7,3,6,65,3,2,0,-1,-4610,-220,-2,4708,-1246
626,-38,-39,-44,-29,-37,-32,-43,-42,-43,227,-32,-35,-41,-28,-37,-32,-45,-40,1,-39,-81,-31,-36,-36,-34,-4378,2432,36,2684,-4016
627,-1,2,-5,-4,1,1,-1,-9,-11,-24,0,-3,-18,-20,-1,-4,-9,-4,-5,-2,-12,1,-2,11,-1,58,-1638,-15,1927,-1345
628,3,-16,1,11,3,1,6,7,0,25,2,2,-1,0,0,8,5,3,4,4,7,6,1,7,-3,-2320,2800,10,1504,-201
629,-15,-27,-14,-2,-12,-16,-6,-13,-12,2,-7,-11,-15,-7,-12,-16,-9,-13,-15,-11,-15,-8,-14,-2,-14,-451,204,8,73,-179
630,10,23,19,16,12,20,4,13,0,-4,11,12,-8,11,16,16,7,17,14,13,1,6,22,6,10,-361,-2682,-14,232,2910
631,7,4,1,6,4,-1,5,0,-1,-4,2,4,7,6,2,8,9,4,20,2,-21,-1,5,5,15,3460,2674,-6,-3933,3288
632,13,9,21,28,17,17,5,8,7,12,23,20,2,9,24,20,9,23,24,14,19,16,20,1,7,1257,280,0,386,-632
633,-24,-18,-18,-24,-19,-16,-26,-11,-56,-47,-25,-28,-28,-20,-21,-35,-30,-18,-32,-20,-36,-20,-33,-23,-39,-3816,2939,72,-2409,-4524
634,0,-13,-20,-19,-13,-12,-6,-8,-1,3,-9,-7,2,-15,-14,-14,-6,-16,-13,-12,-10,-6,-7,-8,-11,-1254,-246,10,-72,-426
635,-6,4,0,0,-4,1,1,5,-3,4,-1,-2,-4,-14,0,-3,1,1,5,-3,-11,-1,-3,1,2,-2494,2023,18,-1562,-1564
636,-9,15,29,33,18,21,12,11,11,24,19,11,4,9,28,29,21,21,33,12,-12,20,14,16,18,-757,-804,-14,-994,-1382
637,0,9,-5,-10,-4,-2,-4,9,7,19,-6,0,3,10,-2,-5,-3,-4,-2,-7,-1,-1,3,1,8,1210,-178,0,314,108
638,-16,26,34,20,13,14,8,0,-2,44,18,8,-3,17,26,13,-2,18,19,8,13,10,9,12,2,-830,-890,-36,2972,64
639,-17,-3,-5,-4,-4,-7,0,2,-1,13,-14,-14,-8,-2,-6,-6,4,-7,-4,1,0,-1,-14,-3,-6,2916,538,2,249,2470
640,-31,-16,-8,-17,-17,-22,-13,-13,-6,2,-22,-22,-7,-33,-16,-20,-15,-16,-18,-19,-16,-7,-20,-6,-12,2516,828,8,422,672
641,-1,0,-8,-6,-6,-9,-10,-7,-14,8,-7,-3,-11,20,-7,8,-9,-5,-10,-4,-29,-8,-1,-10,-16,-3324,14,56,-2802,2464
642,-32,-33,-38,-38,-41,-40,-47,-45,-81,-64,-33,-44,-45,-36,-34,-77,-36,-32,-42,-31,-59,-32,-46,-40,-57,-2593,-1002,68,-5195,3390
643,8,7,22,7,16,8,11,7,7,13,12,10,16,-7,18,11,13,16,7,10,15,12,10,13,10,2807,1764,0,1386,180
644,-7,-5,-4,2,-4,3,-6,-2,4,4,-5,-7,-14,-4,0,2,1,-1,4,1,-7,-2,-9,-9,-5,2329,-682,-80,1498,-2536
645,8,4,2,8,5,2,6,-1,0,-5,5,6,4,10,3,7,10,4,19,1,-20,1,8,6,15,3526,2635,-2,-4129,3377
646,-14,-13,-16,-12,-11,-15,-16,-20,-25,3,-9,-16,-15,-13,-11,-25,28,-12,-6,-4,-42,-11,-22,-19,-21,1820,4184,-40,-2724,-2108
647,-16,-14,-12,-14,-16,-13,-10,-1,-1,13,-17,-11,-14,1,-16,-15,-10,-17,-12,-16,-9,-7,-7,-4,-2,1958,216,10,396,303
648,-14,9,22,15,11,7,10,1,0,253,13,3,5,8,16,-4,-29,12,5,2,5,13,-1,14,2,-862,-1474,-38,811,546
649,8,-3,0,2,5,6,11,16,15,21,-4,1,8,21,3,3,10,-1,0,4,8,-1,12,8,18,-1267,-604,-2,457,-786
650,-14,-13,-20,-16,-19,-14,-12,-12,2,-25,-18,-17,-16,-16,-22,-20,-21,-19,-23,-19,10,-13,-11,-8,-19,-1826,-138,10,2716,-210
651,-44,-50,-48,-31,-49,-47,-48,-60,2,-68,-37,-38,-50,-38,-51,-47,-28,-45,-6,-46,3,-33,-42,-38,-40,-3792,-3166,55,1500,3630
652,-24,-17,-16,-22,-20,-15,-23,-6,-45,-57,-22,-24,-26,-29,-21,-32,-21,-16,-36,-20,-43,-14,-28,-19,-35,-3515,1958,95,-1980,-3994
653,29,29,31,24,29,44,25,41,17,28,22,28,3,3,30,34,21,27,8,24,7,20,46,24,43,-3176,-1773,-98,-1858,1640
654,14,10,0,0,4,9,4,15,-60,49,13,7,3,20,9,-13,27,4,-11,11,-143,2,6,2,0,2850,-4588,7,-5248,2878
655,4,12,23,23,21,12,15,23,11,7,9,11,2,20,17,19,16,20,14,16,18,14,11,13,5,482,-1190,-37,1456,3722
656,-21,-18,-15,-11,-16,-11,-17,-14,-67,-37,-15,-11,-9,-6,-14,45,-19,-13,-19,-18,-59,-17,-16,-20,-22,-4989,1567,-13,-1412,-938
657,-4,-12,1,1,-3,-3,2,-3,17,33,0,-3,6,-2,1,-1,-3,0,-4,0,33,5,-7,4,-2,-4166,-561,-96,1083,-2802
658,13,19,3,0,4,9,9,15,3,26,6,11,14,25,3,11,12,5,5,6,9,2,13,-2,7,-763,1043,16,200,148
659,-4,-3,-3,-6,-5,-4,-9,-8,5,12,-5,-5,3,-8,-1,1,-1,2,-1,-3,15,-5,-11,-15,3,188,-458,-108,1249,-1731
660,5,18,-12,-17,-6,-7,-4,-3,-2,4,-6,1,-6,13,-12,-10,-1,-10,-5,-4,3,-7,4,-4,-4,4488,-578,33,-138,644
661,10,14,17,11,11,15,12,7,10,21,11,9,10,3,15,12,10,12,22,15,5,12,12,10,13,2359,-876,-61,-178,-2637
662,20,16,2,-1,9,8,17,9,15,0,5,7,20,25,6,13,9,9,14,14,23,4,-1,6,11,-1128,1014,-38,611,2816
663,-1,-2,-2,0,-1,-4,-6,-10,-28,19,-1,-3,-3,-11,-4,-1,1,-1,-4,-2,-63,-1,-3,-3,-8,-5484,2039,-32,-2313,2702
664,-27,-11,-4,-19,-14,-20,-15,-18,-14,-3,-13,-13,-18,-14,-13,-18,-15,-12,-20,-14,-17,-5,-23,-10,-23,-622,72,8,79,-446
665,-24,-22,-30,-23,-26,-26,-27,-27,-28,-7,-23,-26,-18,-14,-25,-38,-32,-25,-21,-24,-54,-28,-31,-32,-23,1874,1897,-50,-1570,-1163
